xd,yd,zd,x,y,z
0,0,0,0,-0,-0
0,0,0,0,-0,-0
0,0,0,-0.000517577,-0.00829153,0.191292
0,0,0,-0.000517577,-0.00829153,0.191292
0,0,0,-0.000517745,-0.00829861,0.19129
0,0,0,-0.00051801,-0.00830459,0.19129
0,0,0,-0.000518462,-0.00831144,0.191292
0,0,0,-0.000518629,-0.00831852,0.19129
0,0,0,-0.000518895,-0.00832449,0.19129
0,0,0,-0.000519346,-0.00833134,0.191292
0,0,0,-0.000519514,-0.00833842,0.19129
0,0,0,-0.000519779,-0.0083444,0.19129
0,0,0,-0.00052023,-0.00835124,0.191292
0,0,0,-0.000520468,-0.00835924,0.191289
0,0,0,-0.000520663,-0.0083643,0.19129
0,0,0,-0.000521114,-0.00837115,0.191292
0,0,0,-0.000521352,-0.00837915,0.191289
0,0,0,-0.000521733,-0.00838508,0.191292
0,0,0,-0.000521998,-0.00839105,0.191292
0,0,0,-0.000522236,-0.00839905,0.191289
0,0,0,-0.00052243,-0.00840411,0.19129
0,0,0,-0.000522854,-0.00841298,0.191289
0,0,0,-0.000523119,-0.00841896,0.191289
0,0,0,-0.000523313,-0.00842401,0.19129
0,0,0,-0.000523764,-0.00843086,0.191292
0,0,0,-0.000524002,-0.00843886,0.191289
0,0,0,-0.000524196,-0.00844392,0.19129
0,0,0,-0.000524647,-0.00845077,0.191292
0,0,0,-0.000524884,-0.00845877,0.191289
0,0,0,-0.000525079,-0.00846383,0.19129
0,0,0,-0.000525529,-0.00847067,0.191292
0,0,0,-0.000525767,-0.00847867,0.191289
0,0,0,-0.000525961,-0.00848373,0.19129
0,0,0,-0.000526384,-0.0084926,0.191289
0,0,0,-0.000526649,-0.00849858,0.191289
0,0,0,-0.000526843,-0.00850364,0.19129
0,0,0,-0.000527293,-0.00851049,0.191292
0,0,0,-0.00052753,-0.00851848,0.191289
0,0,0,-0.000527724,-0.00852354,0.19129
0,0,0,-0.000528174,-0.00853039,0.191292
0,0,0,-0.000528411,-0.00853839,0.191289
0,0,0,-0.000528605,-0.00854345,0.19129
0,0,0,-0.000529055,-0.0085503,0.191292
0,0,0,-0.000529292,-0.00855829,0.191289
0,0,0,-0.000529486,-0.00856335,0.19129
0,0,0,-0.000529936,-0.0085702,0.191292
0,0,0,-0.000530173,-0.0085782,0.191289
0,0,0,-0.000530367,-0.00858326,0.19129
0,0,0,-0.000530816,-0.00859011,0.191292
0,0,0,-0.000531053,-0.00859811,0.191289
0,0,0,-0.000531432,-0.00860404,0.191292
0,0,0,-0.000531696,-0.00861002,0.191292
0,0,0,-0.000531863,-0.0086171,0.19129
0,0,0,-0.000532127,-0.00862307,0.19129
0,0,0,-0.000532576,-0.00862992,0.191292
0,0,0,-0.000532742,-0.00863701,0.19129
0,0,0,-0.000533006,-0.00864298,0.19129
0,0,0,-0.000533456,-0.00864983,0.191292
0,0,0,-0.000533693,-0.00865782,0.191289
0,0,0,-0.000533886,-0.00866288,0.19129
0,0,0,-0.000534335,-0.00866973,0.191292
0,0,0,-0.000534572,-0.00867773,0.191289
0,0,0,-0.000534765,-0.00868279,0.19129
0,0,0,-0.000535214,-0.00868964,0.191292
0,0,0,-0.000535451,-0.00869764,0.191289
0,0,0,-0.000535643,-0.0087027,0.19129
0,0,0,-0.000536092,-0.00870955,0.191292
0,0,0,-0.000536329,-0.00871754,0.191289
0,0,0,-0.000536522,-0.0087226,0.19129
0,0,0,-0.000536944,-0.00873148,0.191289
0,0,0,-0.000537207,-0.00873745,0.191289
0,0,0,-0.0005374,-0.00874251,0.19129
0,0,0,-0.000537848,-0.00874936,0.191292
0,0,0,-0.000538085,-0.00875736,0.191289
0,0,0,-0.000538277,-0.00876242,0.19129
0,0,0,-0.000538726,-0.00876927,0.191292
0,0,0,-0.000538962,-0.00877727,0.191289
0,0,0,-0.000539155,-0.00878233,0.19129
0,0,0,-0.000539577,-0.0087912,0.191289
0,0,0,-0.00053984,-0.00879717,0.191289
0,0,0,-0.000540032,-0.00880223,0.19129
0,0,0,-0.00054048,-0.00880908,0.191292
0,0,0,-0.000540717,-0.00881708,0.191289
0,0,0,-0.000541094,-0.00882302,0.191292
0,0,0,-0.000541357,-0.00882899,0.191292
0,0,0,-0.000541593,-0.00883699,0.191289
0,0,0,-0.000541785,-0.00884205,0.19129
0,0,0,-0.000542233,-0.0088489,0.191292
0,0,0,-0.000542469,-0.0088569,0.191289
0,0,0,-0.000542661,-0.00886196,0.19129
0,0,0,-0.000543109,-0.00886881,0.191292
0,0,0,-0.000543345,-0.0088768,0.191289
0,0,0,-0.000543537,-0.00888186,0.19129
0,0,0,-0.000543985,-0.00888871,0.191292
0,0,0,-0.000544221,-0.00889671,0.191289
0,0,0,-0.000544413,-0.00890177,0.19129
0,0,0,-0.000544861,-0.00890862,0.191292
0,0,0,-0.000545096,-0.00891662,0.191289
0,0,0,-0.000545288,-0.00892168,0.19129
0,0,0,-0.000545736,-0.00892853,0.191292
0,0,0,-0.000545972,-0.00893653,0.191289
0,0,0,-0.000546163,-0.00894159,0.19129
0,0,0,-0.000546611,-0.00894844,0.191292
0,0,0,-0.000546846,-0.00895643,0.191289
0,0,0,-0.000547038,-0.0089615,0.19129
0,0,0,-0.000547485,-0.00896835,0.191292
0,0,0,-0.000547721,-0.00897634,0.191289
0,0,0,-0.000547912,-0.0089814,0.19129
0,0,0,-0.000548359,-0.00898825,0.191292
0,0,0,-0.000548595,-0.00899625,0.191289
0,0,0,-0.000548786,-0.00900131,0.19129
0,0,0,-0.000549233,-0.00900816,0.191292
0,0,0,-0.000549469,-0.00901616,0.191289
0,0,0,-0.00054966,-0.00902122,0.19129
0,0,0,-0.000550107,-0.00902807,0.191292
0,0,0,-0.000550342,-0.00903607,0.191289
0,0,0,-0.000550533,-0.00904113,0.19129
0,0,0,-0.00055098,-0.00904798,0.191292
0,0,0,-0.000551215,-0.00905598,0.191289
0,0,0,-0.000551406,-0.00906104,0.19129
0,0,0,-0.000551853,-0.00906789,0.191292
0,0,0,-0.000552088,-0.00907589,0.191289
0,0,0,-0.000552279,-0.00908095,0.19129
0,0,0,-0.000552726,-0.0090878,0.191292
0,0,0,-0.000552961,-0.00909579,0.191289
0,0,0,-0.000553151,-0.00910086,0.19129
0,0,0,-0.000553598,-0.00910771,0.191292
0,0,0,-0.000553833,-0.0091157,0.191289
0,0,0,-0.000554209,-0.00912164,0.191292
0,0,0,-0.000554444,-0.00912964,0.191289
0,0,0,-0.000554705,-0.00913561,0.191289
0,0,0,-0.000554895,-0.00914067,0.19129
0,0,0,-0.000555342,-0.00914752,0.191292
0,0,0,-0.000555577,-0.00915552,0.191289
0,0,0,-0.000555767,-0.00916058,0.19129
0,0,0,-0.000556213,-0.00916743,0.191292
0,0,0,-0.000556448,-0.00917543,0.191289
0,0,0,-0.000556638,-0.00918049,0.19129
0,0,0,-0.000557085,-0.00918734,0.191292
0,0,0,-0.000557319,-0.00919534,0.191289
0,0,0,-0.000557509,-0.0092004,0.19129
0,0,0,-0.000557955,-0.00920725,0.191292
0,0,0,-0.00055819,-0.00921525,0.191289
0,0,0,-0.00055838,-0.00922031,0.19129
0,0,0,-0.000558826,-0.00922716,0.191292
0,0,0,-0.000559061,-0.00923516,0.191289
0,0,0,-0.00055925,-0.00924022,0.19129
0,0,0,-0.000559696,-0.00924707,0.191292
0,0,0,-0.000559931,-0.00925507,0.191289
0,0,0,-0.00056012,-0.00926013,0.19129
0,0,0,-0.000560566,-0.00926698,0.191292
0,0,0,-0.000560801,-0.00927498,0.191289
0,0,0,-0.00056099,-0.00928004,0.19129
0,0,0,-0.000561436,-0.00928689,0.191292
0,0,0,-0.00056167,-0.00929489,0.191289
0,0,0,-0.000561859,-0.00929995,0.19129
0,0,0,-0.000562305,-0.0093068,0.191292
0,0,0,-0.000562539,-0.0093148,0.191289
0,0,0,-0.000562729,-0.00931986,0.19129
