xd,yd,zd,x,y,z,phi,the,psi
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-9.88E-05,8.59E-06,0.191293,-4.42E-10,1.12E-05,0.000348012
0,0,0,-0.00010019,2.19E-06,0.191289,-2.04E-05,-5.78E-08,0.000360329
0,0,0,-9.35E-05,-1.06E-05,0.191291,-1.86E-06,-3.89E-06,0.000381472
0,0,0,-9.21E-05,-3.12E-05,0.191291,-3.13E-08,-5.46E-08,0.000397738
0,0,0,-8.50E-05,-3.67E-05,0.191293,5.41E-06,-2.20E-05,0.000421092
0,0,0,-8.29E-05,-5.14E-05,0.191291,-3.35E-07,6.55E-07,0.000426111
0,0,0,-8.96E-05,-5.97E-05,0.191293,-5.29E-10,1.31E-05,0.000415982
0,0,0,-0.000103327,-6.98E-05,0.19129,-8.45E-06,1.72E-05,0.000458739
0,0,0,-0.000109571,-7.47E-05,0.19129,-6.80E-06,-1.38E-05,0.000514023
0,0,0,-0.000108694,-8.29E-05,0.191291,-4.73E-07,-9.98E-07,0.000529363
0,0,0,-0.000109397,-8.21E-05,0.191287,-1.92E-05,1.28E-05,0.000529689
0,0,0,-0.000105596,-9.41E-05,0.191291,-2.10E-06,-4.30E-06,0.000531989
0,0,0,-0.000103762,-9.57E-05,0.191291,1.20E-06,-7.03E-06,0.000549736
0,0,0,-0.000114895,-0.00010345,0.191283,1.59E-05,-2.03E-05,0.000580891
0,0,0,-0.000123082,-0.000105066,0.191291,-6.00E-07,4.39E-06,0.000633758
0,0,0,-0.000125087,-0.000115426,0.191291,2.29E-06,-1.45E-05,0.000625074
0,0,0,-0.000127154,-0.000119611,0.191288,-3.44E-09,2.61E-05,0.000623435
0,0,0,-0.000122071,-0.000124538,0.191292,-2.46E-06,-8.47E-06,0.00062409
0,0,0,-0.00012251,-0.000136645,0.191288,1.14E-05,-1.33E-05,0.000622979
0,0,0,-0.000123196,-0.000145615,0.191293,5.03E-06,-2.04E-05,0.000633939
0,0,0,-0.000124208,-0.000153696,0.191292,-4.09E-06,8.41E-07,0.00063661
0,0,0,-0.000124953,-0.00016023,0.191289,1.73E-05,-2.98E-06,0.000604436
0,0,0,-0.000126546,-0.000166393,0.19129,-7.35E-06,-1.96E-08,0.000563685
0,0,0,-0.000127215,-0.00017315,0.191292,-2.59E-06,8.25E-07,0.000556186
0,0,0,-0.00012749,-0.00018114,0.191289,2.11E-05,-1.28E-08,0.000549957
0,0,0,-0.000127741,-0.000186183,0.19129,-7.34E-06,-2.15E-08,0.000544265
0,0,0,-0.000128248,-0.000193017,0.191292,-2.68E-06,8.18E-07,0.000538757
0,0,0,-0.000128522,-0.000200996,0.191289,2.11E-05,-1.29E-08,0.000532542
0,0,0,-0.000128774,-0.000206038,0.19129,-7.34E-06,-2.15E-08,0.000526854
0,0,0,-0.000129084,-0.000211994,0.19129,-7.34E-06,-2.15E-08,0.000521634
0,0,0,-0.000129555,-0.00022085,0.191289,2.11E-05,-1.29E-08,0.00051514
0,0,0,-0.000129806,-0.000225892,0.19129,-7.34E-06,-2.15E-08,0.000509456
0,0,0,-0.000130312,-0.000232726,0.191292,-2.68E-06,8.18E-07,0.000503956
0,0,0,-0.000130528,-0.000239791,0.19129,-7.34E-06,-2.15E-08,0.000497285
0,0,0,-0.000130838,-0.000245747,0.19129,-7.34E-06,-2.15E-08,0.000492071
0,0,0,-0.000131344,-0.00025258,0.191292,-2.68E-06,8.18E-07,0.000486575
0,0,0,-0.000131618,-0.00026056,0.191289,2.11E-05,-1.29E-08,0.000480373
0,0,0,-0.000132066,-0.000266479,0.191292,-2.68E-06,8.18E-07,0.000474416
0,0,0,-0.000132375,-0.000272435,0.191292,-2.68E-06,8.18E-07,0.000469206
0,0,0,-0.000132649,-0.000280415,0.191289,2.11E-05,-1.29E-08,0.000463008
0,0,0,-0.0001329,-0.000285457,0.19129,-7.34E-06,-2.15E-08,0.000457337
0,0,0,-0.000133406,-0.00029229,0.191292,-2.68E-06,8.18E-07,0.00045185
0,0,0,-0.00013368,-0.000300269,0.191289,2.11E-05,-1.29E-08,0.000445656
0,0,0,-0.000133931,-0.000305312,0.19129,-7.34E-06,-2.15E-08,0.000439989
0,0,0,-0.000134436,-0.000312145,0.191292,-2.68E-06,8.18E-07,0.000434506
0,0,0,-0.00013471,-0.000320125,0.191289,2.11E-05,-1.29E-08,0.000428316
0,0,0,-0.000134961,-0.000325167,0.19129,-7.34E-06,-2.15E-08,0.000422653
0,0,0,-0.000135431,-0.000334023,0.191289,2.11E-05,-1.29E-08,0.000416185
0,0,0,-0.00013574,-0.00033998,0.191289,2.11E-05,-1.29E-08,0.000410988
0,0,0,-0.000135991,-0.000345022,0.19129,-7.34E-06,-2.15E-08,0.00040533
0,0,0,-0.000136496,-0.000351856,0.191292,-2.68E-06,8.18E-07,0.000399855
0,0,0,-0.00013677,-0.000359835,0.191289,2.11E-05,-1.29E-08,0.000393673
0,0,0,-0.00013702,-0.000364878,0.19129,-7.34E-06,-2.15E-08,0.000388019
0,0,0,-0.000137525,-0.000371711,0.191292,-2.68E-06,8.18E-07,0.000382548
0,0,0,-0.000137799,-0.000379691,0.191289,2.11E-05,-1.29E-08,0.000376371
0,0,0,-0.000138049,-0.000384733,0.19129,-7.34E-06,-2.15E-08,0.000370721
0,0,0,-0.000138554,-0.000391567,0.191292,-2.68E-06,8.18E-07,0.000365253
0,0,0,-0.000138828,-0.000399546,0.191289,2.11E-05,-1.29E-08,0.00035908
0,0,0,-0.000139078,-0.000404589,0.19129,-7.34E-06,-2.15E-08,0.000353435
0,0,0,-0.000139583,-0.000411422,0.191292,-2.68E-06,8.18E-07,0.000347971
0,0,0,-0.000139856,-0.000419402,0.191289,2.11E-05,-1.29E-08,0.000341802
0,0,0,-0.000140106,-0.000424445,0.19129,-7.34E-06,-2.15E-08,0.000336161
0,0,0,-0.000140611,-0.000431278,0.191292,-2.68E-06,8.18E-07,0.000330702
0,0,0,-0.000140884,-0.000439258,0.191289,2.11E-05,-1.29E-08,0.000324537
0,0,0,-0.000141142,-0.000444266,0.19129,-7.06E-06,-2.18E-08,0.000318965
0,0,0,-0.000141627,-0.000451009,0.191292,-2.64E-06,8.16E-07,0.000313779
0,0,0,-0.000141901,-0.00045898,0.191289,2.11E-05,-1.29E-08,0.000307618
0,0,0,-0.000142151,-0.00046402,0.19129,-7.34E-06,-2.15E-08,0.000301984
0,0,0,-0.000142655,-0.000470854,0.191292,-2.68E-06,8.18E-07,0.000296533
0,0,0,-0.000142928,-0.000478833,0.191289,2.11E-05,-1.29E-08,0.000290377
0,0,0,-0.000143178,-0.000483876,0.19129,-7.34E-06,-2.15E-08,0.000284747
0,0,0,-0.000143682,-0.00049071,0.191292,-2.68E-06,8.18E-07,0.0002793
0,0,0,-0.000143955,-0.00049869,0.191289,2.11E-05,-1.29E-08,0.000273148
0,0,0,-0.000144204,-0.000503732,0.19129,-7.34E-06,-2.15E-08,0.000267523
0,0,0,-0.000144708,-0.000510566,0.191292,-2.68E-06,8.18E-07,0.00026208
0,0,0,-0.000144923,-0.000517632,0.19129,-7.34E-06,-2.15E-08,0.000255473
0,0,0,-0.000145231,-0.000523589,0.19129,-7.34E-06,-2.15E-08,0.000250311
0,0,0,-0.000145734,-0.000530423,0.191292,-2.68E-06,8.18E-07,0.000244872
0,0,0,-0.000146007,-0.000538402,0.191289,2.11E-05,-1.29E-08,0.000238728
0,0,0,-0.000146256,-0.000543445,0.19129,-7.34E-06,-2.15E-08,0.000233111
0,0,0,-0.00014676,-0.000550279,0.191292,-2.68E-06,8.18E-07,0.000227676
0,0,0,-0.000147033,-0.000558259,0.191289,2.11E-05,-1.29E-08,0.000221536
0,0,0,-0.000147282,-0.000563302,0.19129,-7.34E-06,-2.15E-08,0.000215924
0,0,0,-0.000147785,-0.000570136,0.191292,-2.68E-06,8.18E-07,0.000210493
0,0,0,-0.000148058,-0.000578116,0.191289,2.11E-05,-1.29E-08,0.000204357
0,0,0,-0.000148307,-0.000583159,0.19129,-7.34E-06,-2.15E-08,0.000198749
0,0,0,-0.000148775,-0.000592016,0.191289,2.11E-05,-1.29E-08,0.000192339
0,0,0,-0.000149083,-0.000597973,0.191289,2.11E-05,-1.29E-08,0.00018719
0,0,0,-0.000149331,-0.000603016,0.19129,-7.34E-06,-2.15E-08,0.000181586
0,0,0,-0.000149834,-0.00060985,0.191292,-2.68E-06,8.18E-07,0.000176163
0,0,0,-0.000150107,-0.00061783,0.191289,2.11E-05,-1.29E-08,0.000170036
0,0,0,-0.000150355,-0.000622873,0.19129,-7.34E-06,-2.15E-08,0.000164436
0,0,0,-0.000150858,-0.000629707,0.191292,-2.68E-06,8.18E-07,0.000159017
0,0,0,-0.000151072,-0.000636773,0.19129,-7.34E-06,-2.15E-08,0.000152438
0,0,0,-0.000151379,-0.00064273,0.19129,-7.34E-06,-2.15E-08,0.000147297
0,0,0,-0.000151882,-0.000649564,0.191292,-2.68E-06,8.18E-07,0.000141883
0,0,0,-0.000152154,-0.000657544,0.191289,2.11E-05,-1.29E-08,0.000135764
0,0,0,-0.000152402,-0.000662587,0.19129,-7.34E-06,-2.15E-08,0.000130172
0,0,0,-0.000152905,-0.000669422,0.191292,-2.68E-06,8.18E-07,0.000124761
0,0,0,-0.000153177,-0.000677402,0.191289,2.11E-05,-1.29E-08,0.000118646
0,0,0,-0.000153425,-0.000682445,0.19129,-7.34E-06,-2.15E-08,0.000113058
0,0,0,-0.000153928,-0.000689279,0.191292,-2.68E-06,8.18E-07,0.000107652
0,0,0,-0.0001542,-0.000697259,0.191289,2.11E-05,-1.29E-08,0.000101541
0,0,0,-0.000154448,-0.000702302,0.19129,-7.34E-06,-2.15E-08,9.60E-05
0,0,0,-0.00015495,-0.000709137,0.191292,-2.68E-06,8.18E-07,9.06E-05
0,0,0,-0.000155222,-0.000717117,0.191289,2.11E-05,-1.29E-08,8.44E-05
0,0,0,-0.00015547,-0.00072216,0.19129,-7.34E-06,-2.15E-08,7.89E-05
0,0,0,-0.000155972,-0.000728995,0.191292,-2.68E-06,8.18E-07,7.35E-05
0,0,0,-0.000156244,-0.000736975,0.191289,2.11E-05,-1.29E-08,6.74E-05
0,0,0,-0.000156492,-0.000742018,0.19129,-7.34E-06,-2.15E-08,6.18E-05
