xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,-3.27E-05,-4.03E-05,0.191291,-5.10E-06,-1.53E-06,0.000446947,0.00100126
0,0,0,-3.39E-05,-5.14E-05,0.191291,-2.17E-06,-4.42E-06,0.000445593,-0.0055863
0,0,0,-3.54E-05,-5.12E-05,0.191291,-1.94E-05,1.91E-05,0.000451716,0.00118481
0,0,0,-3.31E-05,-5.28E-05,0.191288,-1.94E-05,1.04E-05,0.000463885,0.00296981
0,0,0,-3.25E-05,-6.99E-05,0.191289,-8.50E-06,2.77E-05,0.000468796,0.0104158
0,0,0,-3.63E-05,-7.80E-05,0.191291,-8.57E-06,-5.97E-06,0.000470781,0.00054163
0,0,0,-5.62E-05,-9.04E-05,0.191288,-9.58E-06,3.37E-05,0.000476793,0.019806
0,0,0,-7.22E-05,-9.81E-05,0.191291,6.28E-08,-4.40E-07,0.000497866,0.00574769
0,0,0,-7.20E-05,-9.92E-05,0.191287,-1.66E-05,1.73E-05,0.00052014,0.0065551
0,0,0,-8.01E-05,-0.000113744,0.191291,4.34E-06,4.93E-06,0.000528148,0.0155816
0,0,0,-0.000105208,-0.00012381,0.191289,-1.68E-05,-1.26E-07,0.000553216,0.00939584
0,0,0,-0.000120467,-0.000131122,0.191291,-7.51E-08,-1.85E-07,0.000567919,-0.00437756
0,0,0,-0.000116939,-0.000136239,0.191289,-1.92E-05,-1.71E-07,0.000578322,-0.00784478
0,0,0,-0.000114826,-0.000143049,0.191282,3.57E-07,-1.01E-05,0.000596857,-0.00154875
0,0,0,-0.00013874,-0.000147746,0.191286,1.07E-05,3.68E-05,0.000672809,0.00759855
0,0,0,-0.000134834,-0.000150436,0.191291,4.57E-06,1.39E-06,0.00080541,0.00140064
0,0,0,-0.000134728,-0.000159394,0.191289,-1.63E-05,-3.32E-05,0.000798423,-0.00817364
0,0,0,-0.000136358,-0.000169062,0.191292,4.49E-08,-1.82E-06,0.000787133,-0.000575057
0,0,0,-0.000136979,-0.000185265,0.191289,-8.96E-06,2.65E-05,0.000790765,0.0114315
0,0,0,-0.000141008,-0.000193041,0.191293,4.32E-06,-1.75E-05,0.000792004,-0.00387777
0,0,0,-0.000154231,-0.000201043,0.19129,-2.81E-06,1.15E-05,0.000796451,0.0100264
0,0,0,-0.000154761,-0.000200944,0.191291,-1.99E-05,1.86E-05,0.000805524,0.00140365
0,0,0,-0.000152663,-0.000202665,0.191288,-1.94E-05,1.04E-05,0.000819252,0.00356437
0,0,0,-0.000152062,-0.000219791,0.191289,-8.49E-06,2.77E-05,0.000824338,0.0110126
0,0,0,-0.000155779,-0.000227846,0.191291,-8.58E-06,-5.97E-06,0.000826305,0.00113709
0,0,0,-0.000177631,-0.000242106,0.191293,-3.83E-11,1.49E-05,0.000832602,0.00863234
