Fd,F,Error,Input
1,0.293971986,0.706028014,2.301976878
1,0.394887567,0.605112433,2.304236016
1,0.418237686,0.581762314,2.30634904
1,0.465983301,0.534016699,2.308309697
1,0.503854334,0.496145666,2.310126118
1,0.576740444,0.423259556,2.311708161
1,0.504912376,0.495087624,2.313433014
1,0.549339652,0.450660348,2.315090933
1,0.547975302,0.452024698,2.316717131
1,0.573707283,0.426292717,2.31827237
1,0.588502705,0.411497295,2.319765597
1,0.680145562,0.319854438,2.320990387
1,0.602696121,0.397303879,2.322358721
1,0.597191989,0.402808011,2.323789308
1,0.645773768,0.354226232,2.325099068
1,0.648788869,0.351211131,2.32636584
1,0.68668288,0.31331712,2.327524097
1,0.635802746,0.364197254,2.328794503
1,0.636460602,0.363539398,2.330103771
1,0.773340285,0.226659715,2.33102925
1,0.721403062,0.278596938,2.331990649
1,0.684843957,0.315156043,2.333095964
1,0.638880968,0.361119032,2.334359222
1,0.603785276,0.396214724,2.335757518
1,0.608777761,0.391222239,2.337169912
1,0.56584549,0.43415451,2.338698523
1,0.669561088,0.330438912,2.339971075
1,0.847513855,0.152486145,2.340662388
1,0.751077056,0.248922944,2.341481361
1,0.618121386,0.381878614,2.342749759
1,0.790727556,0.209272444,2.343641225
1,0.754427075,0.245572925,2.344496247
1,0.88658309,0.11341691,2.345010273
1,0.766530693,0.233469307,2.34575472
1,0.618048787,0.381951213,2.347010959
1,0.814103842,0.185896158,2.34783703
1,0.90818274,0.09181726,2.348242835
1,0.744291782,0.255708218,2.349032272
1,0.814134359,0.185865641,2.349757262
1,0.751934648,0.248065352,2.350600537
1,0.826030076,0.173969924,2.351286106
1,0.758359849,0.241640151,2.352101874
1,0.738199234,0.261800766,2.353028228
1,0.763130367,0.236869633,2.35387932
1,0.859110713,0.140889287,2.354457139
1,0.813392639,0.186607361,2.355092351
1,0.703178048,0.296821952,2.356072739
1,0.926464438,0.073535562,2.356516096
1,1.024305344,-0.024305344,2.356506869
1,0.890483677,0.109516323,2.356794071
1,0.909931958,0.090068042,2.357133874
1,0.994166374,0.005833626,2.357222263
1,0.881683826,0.118316174,2.357558215
1,0.93750608,0.06249392,2.357827851
1,0.781403005,0.218596995,2.358489918
1,0.936572492,0.063427508,2.358842392
1,0.805406153,0.194593847,2.359437997
1,0.7077564,0.2922436,2.360411954
1,0.825771928,0.174228072,2.361133588
1,0.826678455,0.173321545,2.361758271
1,0.940410972,0.059589028,2.362063777
1,0.601348639,0.398651361,2.363227672
1,0.770216167,0.229783833,2.364189988
1,0.793390095,0.206609905,2.364952323
1,0.736589313,0.263410687,2.365855161
1,0.775162816,0.224837184,2.366695433
1,0.795861065,0.204138935,2.367446892
1,0.948282182,0.051717818,2.367755013
1,0.889858544,0.110141456,2.368104783
2,0.862187803,1.137812197,2.371378771
2,0.903813899,1.096186101,2.375358342
2,1.063848853,0.936151147,2.378856514
2,0.915958345,1.084041655,2.382640751
2,1.169047594,0.830952406,2.385834651
2,1.163631439,0.836368561,2.388841245
2,1.212152004,0.787847996,2.391716314
2,1.24263823,0.75736177,2.394467206
2,1.602027774,0.397972226,2.396187417
2,1.094948888,0.905051112,2.399039938
2,1.171655536,0.828344464,2.402083344
2,1.350218773,0.649781227,2.404565407
2,1.499570251,0.500429749,2.406486435
2,1.488908529,0.511091471,2.408317835
2,1.472358346,0.527641654,2.410204105
2,1.256845474,0.743154526,2.412707051
2,1.286055446,0.713944554,2.415300619
2,1.541719079,0.458280921,2.417154961
2,1.336403966,0.663596034,2.419379655
2,1.20761621,0.79238379,2.422129206
2,1.227490664,0.772509336,2.42492614
2,1.525345683,0.474654317,2.426873179
2,1.748477221,0.251522779,2.427957166
2,1.389006853,0.610993147,2.429869165
2,1.730706811,0.269293189,2.431111981
2,1.83324635,0.16675365,2.431794326
2,1.573321939,0.426678061,2.433122427
