Fd,F,Error,Input
1,0.293971986,0.706028014,2.301976878
1,0.394887567,0.605112433,2.304236016
1,0.418237686,0.581762314,2.30634904
1,0.465983301,0.534016699,2.308309697
1,0.503854334,0.496145666,2.310126118
1,0.576740444,0.423259556,2.311708161
1,0.594912376,0.405087624,2.313433014
1,0.599339652,0.400660348,2.315090933
1,0.597975302,0.402024698,2.316717131
1,0.603707283,0.396292717,2.31827237
1,0.608502705,0.391497295,2.319765597
1,0.680145562,0.319854438,2.320990387
1,0.602696121,0.397303879,2.322358721
1,0.627191989,0.372808011,2.323789308
1,0.645773768,0.354226232,2.325099068
1,0.668788869,0.331211131,2.32636584
1,0.68668288,0.31331712,2.327524097
1,0.695802746,0.304197254,2.328794503
1,0.726460602,0.273539398,2.330103771
1,0.743340285,0.256659715,2.33102925
1,0.721403062,0.278596938,2.331990649
1,0.746843957,0.253156043,2.333095964
1,0.728880968,0.271119032,2.334359222
1,0.763785276,0.236214724,2.335757518
1,0.728777761,0.271222239,2.337169912
1,0.756584549,0.243415451,2.338698523
1,0.769561088,0.230438912,2.339971075
1,0.847513855,0.152486145,2.340662388
1,0.751077056,0.248922944,2.341481361
1,0.761812139,0.238187861,2.342749759
1,0.790727556,0.209272444,2.343641225
1,0.754427075,0.245572925,2.344496247
1,0.88658309,0.11341691,2.345010273
1,0.796530693,0.203469307,2.34575472
1,0.801804879,0.198195121,2.347010959
1,0.814103842,0.185896158,2.34783703
1,0.90818274,0.09181726,2.348242835
1,0.744291782,0.255708218,2.349032272
1,0.814134359,0.185865641,2.349757262
1,0.781934648,0.218065352,2.350600537
1,0.826030076,0.173969924,2.351286106
1,0.798359849,0.201640151,2.352101874
1,0.798199234,0.201800766,2.353028228
1,0.803130367,0.196869633,2.35387932
1,0.859110713,0.140889287,2.354457139
1,0.863392639,0.136607361,2.355092351
1,0.873178048,0.126821952,2.356072739
1,0.926464438,0.073535562,2.356516096
1,1.024305344,-0.024305344,2.356506869
1,0.890483677,0.109516323,2.356794071
1,0.909931958,0.090068042,2.357133874
1,0.994166374,0.005833626,2.357222263
1,0.981683826,0.018316174,2.357558215
1,0.99750608,0.00249392,2.357827851
1,0.981403005,0.018596995,2.358489918
1,0.966572492,0.033427508,2.358842392
1,0.985406153,0.014593847,2.359437997
1,0.97077564,0.02922436,2.360411954
1,0.982571928,0.017428072,2.361133588
1,0.986678455,0.013321545,2.361758271
1,0.990410972,0.009589028,2.362063777
1,0.981348639,0.018651361,2.363227672
1,0.979016167,0.020983833,2.364189988
1,0.993390095,0.006609905,2.364952323
1,0.986589313,0.013410687,2.365855161
1,0.995162816,0.004837184,2.366695433
1,0.985861065,0.014138935,2.367446892
1,0.998282182,0.001717818,2.367755013
1,0.999858544,0.000141456,2.368104783
2,0.999187803,1.000812197,2.371378771
2,0.993813899,1.006186101,2.375358342
2,1.063848853,0.936151147,2.378856514
2,1.139583645,0.860416355,2.382640751
2,1.169047594,0.830952406,2.385834651
2,1.163631439,0.836368561,2.388841245
2,1.212152004,0.787847996,2.391716314
2,1.242635823,0.757364177,2.394467206
2,1.360202777,0.639797223,2.396187417
2,1.389494889,0.610505111,2.399039938
2,1.341716555,0.658283445,2.402083344
2,1.350218773,0.649781227,2.404565407
2,1.499570251,0.500429749,2.406486435
2,1.488908529,0.511091471,2.408317835
2,1.472358346,0.527641654,2.410204105
2,1.496845474,0.503154526,2.412707051
2,1.506055446,0.493944554,2.415300619
2,1.541719079,0.458280921,2.417154961
2,1.536403966,0.463596034,2.419379655
2,1.492761621,0.507238379,2.422129206
2,1.527490664,0.472509336,2.42492614
2,1.525345683,0.474654317,2.426873179
2,1.748477221,0.251522779,2.427957166
2,1.789006853,0.210993147,2.429869165
2,1.730706811,0.269293189,2.431111981
2,1.83324635,0.16675365,2.431794326
2,1.857321939,0.142678061,2.433122427
