xd,yd,zd,x,y,z
0,0,0,0,-0,-0
0,0,0,0,-0,-0
0,0,0,-0.00103344,-0.000416534,0.191291
0,0,0,-0.00103344,-0.000416534,0.191291
0,0,0,-0.00103608,-0.000417886,0.191289
0,0,0,-0.00103852,-0.000416452,0.19129
0,0,0,-0.00103891,-0.000418117,0.191291
0,0,0,-0.00104182,-0.000418311,0.191291
0,0,0,-0.00104377,-0.000419982,0.191289
0,0,0,-0.00104621,-0.000418548,0.19129
0,0,0,-0.00104661,-0.000420213,0.191291
0,0,0,-0.00104882,-0.000420725,0.191291
0,0,0,-0.00105146,-0.000422078,0.191289
0,0,0,-0.0010528,-0.000421855,0.191291
0,0,0,-0.0010543,-0.000422309,0.191291
0,0,0,-0.00105652,-0.000422822,0.191291
0,0,0,-0.00105916,-0.000424174,0.191289
0,0,0,-0.0010616,-0.000422741,0.19129
0,0,0,-0.001062,-0.000424405,0.191291
0,0,0,-0.00106421,-0.000424918,0.191291
0,0,0,-0.00106685,-0.000426271,0.191289
0,0,0,-0.0010693,-0.000424837,0.19129
0,0,0,-0.00106969,-0.000426502,0.191291
0,0,0,-0.00107191,-0.000427015,0.191291
0,0,0,-0.00107455,-0.000428368,0.191289
0,0,0,-0.001077,-0.000426934,0.19129
0,0,0,-0.00107739,-0.000428599,0.191291
0,0,0,-0.00108029,-0.000428794,0.191291
0,0,0,-0.00108225,-0.000430465,0.191289
0,0,0,-0.00108469,-0.000429031,0.19129
0,0,0,-0.00108509,-0.000430696,0.191291
0,0,0,-0.00108731,-0.000431209,0.191291
0,0,0,-0.00108995,-0.000432562,0.191289
0,0,0,-0.00109239,-0.000431129,0.19129
0,0,0,-0.00109279,-0.000432794,0.191291
0,0,0,-0.001095,-0.000433307,0.191291
0,0,0,-0.00109765,-0.00043466,0.191289
0,0,0,-0.00110009,-0.000433227,0.19129
0,0,0,-0.00110048,-0.000434892,0.191291
0,0,0,-0.0011027,-0.000435405,0.191291
0,0,0,-0.00110535,-0.000436758,0.191289
0,0,0,-0.00110779,-0.000435325,0.19129
0,0,0,-0.00110819,-0.00043699,0.191291
0,0,0,-0.0011104,-0.000437503,0.191291
0,0,0,-0.00111305,-0.000438856,0.191289
0,0,0,-0.00111549,-0.000437423,0.19129
0,0,0,-0.00111589,-0.000439088,0.191291
0,0,0,-0.00111811,-0.000439601,0.191291
0,0,0,-0.00112075,-0.000440954,0.191289
0,0,0,-0.00112319,-0.000439522,0.19129
0,0,0,-0.00112359,-0.000441187,0.191291
0,0,0,-0.00112581,-0.0004417,0.191291
0,0,0,-0.00112845,-0.000443053,0.191289
0,0,0,-0.0011309,-0.000441621,0.19129
0,0,0,-0.00113129,-0.000443286,0.191291
0,0,0,-0.00113351,-0.000443799,0.191291
0,0,0,-0.00113615,-0.000445152,0.191289
0,0,0,-0.0011386,-0.00044372,0.19129
0,0,0,-0.001139,-0.000445385,0.191291
0,0,0,-0.00114122,-0.000445898,0.191291
0,0,0,-0.00114355,-0.000445584,0.19129
0,0,0,-0.0011463,-0.000445819,0.19129
0,0,0,-0.0011467,-0.000447484,0.191291
0,0,0,-0.00114892,-0.000447997,0.191291
0,0,0,-0.00115156,-0.000449351,0.191289
0,0,0,-0.00115401,-0.000447919,0.19129
0,0,0,-0.00115441,-0.000449584,0.191291
0,0,0,-0.00115663,-0.000450097,0.191291
0,0,0,-0.00115896,-0.000449784,0.19129
0,0,0,-0.00116172,-0.000450019,0.19129
0,0,0,-0.00116211,-0.000451684,0.191291
0,0,0,-0.00116433,-0.000452197,0.191291
0,0,0,-0.00116697,-0.000453551,0.191289
0,0,0,-0.00116942,-0.000452119,0.19129
0,0,0,-0.00116981,-0.000453819,0.191281
0,0,0,-0.00117204,-0.000454297,0.191291
0,0,0,-0.00117468,-0.000455651,0.191289
0,0,0,-0.00117591,-0.000454404,0.19129
0,0,0,-0.00117753,-0.000455885,0.191291
0,0,0,-0.00117975,-0.000456398,0.191291
0,0,0,-0.00118239,-0.000457752,0.191289
0,0,0,-0.00118484,-0.00045632,0.19129
0,0,0,-0.00118524,-0.000457985,0.191291
0,0,0,-0.00118746,-0.000458499,0.191291
0,0,0,-0.0011901,-0.000459853,0.191289
0,0,0,-0.00119255,-0.000458421,0.19129
0,0,0,-0.00119294,-0.000460086,0.191291
0,0,0,-0.00119517,-0.0004606,0.191291
0,0,0,-0.00119781,-0.000461954,0.191289
0,0,0,-0.00120026,-0.000460522,0.19129
0,0,0,-0.00120066,-0.000462188,0.191291
0,0,0,-0.00120288,-0.000462701,0.191291
0,0,0,-0.00120552,-0.000464055,0.191289
0,0,0,-0.00120797,-0.000462624,0.19129
0,0,0,-0.00120837,-0.000464289,0.191291
0,0,0,-0.00121127,-0.000464485,0.191291
0,0,0,-0.00121323,-0.000466157,0.191289
0,0,0,-0.00121568,-0.000464726,0.19129
0,0,0,-0.00121608,-0.000466391,0.191291
0,0,0,-0.0012183,-0.000466905,0.191291
0,0,0,-0.00122094,-0.000468259,0.191289
0,0,0,-0.00122339,-0.000466828,0.19129
0,0,0,-0.00122379,-0.000468493,0.191291
0,0,0,-0.00122601,-0.000469007,0.191291
0,0,0,-0.00122866,-0.000470361,0.191289
0,0,0,-0.00123111,-0.00046893,0.19129
0,0,0,-0.0012315,-0.000470596,0.191291
0,0,0,-0.00123373,-0.000471109,0.191291
0,0,0,-0.00123637,-0.000472464,0.191289
0,0,0,-0.00123882,-0.000471033,0.19129
0,0,0,-0.00123922,-0.000472698,0.191291
0,0,0,-0.00124144,-0.000473212,0.191291
0,0,0,-0.00124408,-0.000474566,0.191289
0,0,0,-0.00124654,-0.000473136,0.19129
0,0,0,-0.00124693,-0.000474801,0.191291
0,0,0,-0.00124916,-0.000475315,0.191291
0,0,0,-0.0012518,-0.00047667,0.191289
0,0,0,-0.00125425,-0.000475239,0.19129
0,0,0,-0.00125465,-0.000476904,0.191291
0,0,0,-0.00125687,-0.000477418,0.191291
0,0,0,-0.00125952,-0.000478773,0.191289
0,0,0,-0.00126197,-0.000477342,0.19129
0,0,0,-0.00126237,-0.000479008,0.191291
0,0,0,-0.00126459,-0.000479522,0.191291
0,0,0,-0.00126723,-0.000480876,0.191289
0,0,0,-0.00126969,-0.000479446,0.19129
0,0,0,-0.00127009,-0.000481111,0.191291
0,0,0,-0.00127231,-0.000481625,0.191291
0,0,0,-0.00127495,-0.00048298,0.191289
0,0,0,-0.0012774,-0.00048155,0.19129
0,0,0,-0.0012778,-0.000483215,0.191291
0,0,0,-0.00128003,-0.000483729,0.191291
0,0,0,-0.00128267,-0.000485084,0.191289
0,0,0,-0.00128512,-0.000483654,0.19129
0,0,0,-0.00128552,-0.00048532,0.191291
0,0,0,-0.00128775,-0.000485834,0.191291
0,0,0,-0.00129039,-0.000487189,0.191289
0,0,0,-0.00129284,-0.000485759,0.19129
0,0,0,-0.00129324,-0.000487424,0.191291
0,0,0,-0.00129547,-0.000487938,0.191291
0,0,0,-0.00129811,-0.000489293,0.191289
0,0,0,-0.00130056,-0.000487863,0.19129
0,0,0,-0.00130096,-0.000489529,0.191291
0,0,0,-0.00130319,-0.000490043,0.191291
0,0,0,-0.00130583,-0.000491398,0.191289
0,0,0,-0.00130829,-0.000489968,0.19129
0,0,0,-0.00130869,-0.000491634,0.191291
0,0,0,-0.00131091,-0.000492148,0.191291
0,0,0,-0.00131355,-0.000493503,0.191289
0,0,0,-0.00131601,-0.000492074,0.19129
0,0,0,-0.00131641,-0.000493739,0.191291
0,0,0,-0.00131863,-0.000494254,0.191291
0,0,0,-0.00132128,-0.000495609,0.191289
0,0,0,-0.00132373,-0.000494179,0.19129
0,0,0,-0.00132413,-0.000495845,0.191291
0,0,0,-0.00132636,-0.000496359,0.191291
0,0,0,-0.001329,-0.000497715,0.191289
0,0,0,-0.00133146,-0.000496285,0.19129
0,0,0,-0.00133186,-0.000497951,0.191291
