xd,yd,zd,x,y,z,phi,the,psi
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,-0.00128562,-0.000485393,0.191291,-2.27E-08,-2.86E-07,0.00301123
0,0,0,-0.00128562,-0.000485393,0.191291,-2.27E-08,-2.86E-07,0.00301123
0,0,0,-0.00128784,-0.000485907,0.191291,2.37E-07,-4.61E-07,0.00301445
0,0,0,-0.00129049,-0.000487262,0.191289,2.17E-05,6.52E-07,0.0030163
0,0,0,-0.00129294,-0.000485832,0.19129,-8.03E-06,1.77E-05,0.00302107
0,0,0,-0.00129334,-0.000487498,0.191291,-2.27E-08,-2.86E-07,0.00302656
0,0,0,-0.00129556,-0.000488012,0.191291,2.37E-07,-4.61E-07,0.00302978
0,0,0,-0.00129821,-0.000489368,0.191289,2.17E-05,6.52E-07,0.00303162
0,0,0,-0.00130066,-0.000487938,0.19129,-8.03E-06,1.77E-05,0.0030364
0,0,0,-0.00130106,-0.000489604,0.191291,-2.27E-08,-2.86E-07,0.00304189
0,0,0,-0.00130397,-0.000489801,0.191291,-2.03E-06,-6.00E-07,0.00304535
0,0,0,-0.00130593,-0.000491474,0.191289,2.17E-05,6.52E-07,0.00304695
0,0,0,-0.00130838,-0.000490044,0.19129,-8.03E-06,1.77E-05,0.00305172
0,0,0,-0.00130878,-0.00049171,0.191291,-2.27E-08,-2.86E-07,0.00305721
0,0,0,-0.00131101,-0.000492224,0.191291,2.37E-07,-4.60E-07,0.00306042
0,0,0,-0.00131365,-0.00049358,0.191289,2.17E-05,6.51E-07,0.00306226
0,0,0,-0.0013161,-0.00049215,0.19129,-8.03E-06,1.77E-05,0.00306703
0,0,0,-0.0013165,-0.000493816,0.191291,-2.27E-08,-2.86E-07,0.00307252
0,0,0,-0.00131873,-0.00049433,0.191291,2.37E-07,-4.60E-07,0.00307573
0,0,0,-0.00132137,-0.000495686,0.191289,2.17E-05,6.51E-07,0.00307758
0,0,0,-0.00132383,-0.000494257,0.19129,-8.03E-06,1.77E-05,0.00308234
0,0,0,-0.00132423,-0.000495922,0.191291,-2.27E-08,-2.86E-07,0.00308783
0,0,0,-0.00132645,-0.000496437,0.191291,2.37E-07,-4.60E-07,0.00309104
0,0,0,-0.0013291,-0.000497792,0.191289,2.17E-05,6.51E-07,0.00309288
0,0,0,-0.00133155,-0.000496363,0.19129,-8.03E-06,1.77E-05,0.00309765
0,0,0,-0.00133195,-0.000498029,0.191291,-2.27E-08,-2.86E-07,0.00310313
0,0,0,-0.00133418,-0.000498544,0.191291,2.37E-07,-4.60E-07,0.00310634
0,0,0,-0.00133682,-0.000499899,0.191289,2.17E-05,6.51E-07,0.00310818
0,0,0,-0.00133928,-0.00049847,0.19129,-8.03E-06,1.77E-05,0.00311295
0,0,0,-0.00133968,-0.000500136,0.191291,-2.28E-08,-2.86E-07,0.00311843
0,0,0,-0.0013419,-0.000500651,0.191291,2.37E-07,-4.60E-07,0.00312164
0,0,0,-0.00134424,-0.00050034,0.19129,-6.42E-06,-1.59E-06,0.00312428
0,0,0,-0.001347,-0.000500578,0.19129,-8.03E-06,1.77E-05,0.00312824
0,0,0,-0.0013474,-0.000502244,0.191291,-2.28E-08,-2.86E-07,0.00313372
0,0,0,-0.00134963,-0.000502758,0.191291,2.37E-07,-4.60E-07,0.00313693
0,0,0,-0.00135227,-0.000504114,0.191289,2.17E-05,6.51E-07,0.00313877
0,0,0,-0.00135473,-0.000502685,0.19129,-8.03E-06,1.77E-05,0.00314353
0,0,0,-0.00135513,-0.000504351,0.191291,-2.28E-08,-2.86E-07,0.00314901
0,0,0,-0.00135735,-0.000504866,0.191291,2.37E-07,-4.60E-07,0.00315221
0,0,0,-0.00136,-0.000506222,0.191289,2.17E-05,6.51E-07,0.00315405
0,0,0,-0.00136246,-0.000504793,0.19129,-8.03E-06,1.77E-05,0.00315881
0,0,0,-0.00136285,-0.000506493,0.191281,-5.68E-08,-4.06E-06,0.00316444
0,0,0,-0.00136508,-0.000506973,0.191291,2.37E-07,-4.60E-07,0.00316749
0,0,0,-0.00136773,-0.000508329,0.191289,2.17E-05,6.51E-07,0.00316933
0,0,0,-0.00137018,-0.000506901,0.19129,-8.03E-06,1.77E-05,0.00317409
0,0,0,-0.00137059,-0.000508567,0.191291,-2.28E-08,-2.86E-07,0.00317957
0,0,0,-0.00137281,-0.000509082,0.191291,2.37E-07,-4.60E-07,0.00318277
0,0,0,-0.00137546,-0.000510438,0.191289,2.17E-05,6.51E-07,0.00318461
0,0,0,-0.00137791,-0.000509009,0.19129,-8.03E-06,1.77E-05,0.00318936
0,0,0,-0.00137831,-0.000510675,0.191291,-2.28E-08,-2.86E-07,0.00319484
0,0,0,-0.00138054,-0.00051119,0.191291,2.37E-07,-4.60E-07,0.00319804
0,0,0,-0.00138319,-0.000512546,0.191289,2.17E-05,6.51E-07,0.00319987
0,0,0,-0.00138564,-0.000511118,0.19129,-8.03E-06,1.77E-05,0.00320463
0,0,0,-0.00138604,-0.000512784,0.191291,-2.28E-08,-2.85E-07,0.0032101
0,0,0,-0.00138827,-0.000513299,0.191291,2.37E-07,-4.60E-07,0.0032133
0,0,0,-0.00139092,-0.000514655,0.191289,2.17E-05,6.51E-07,0.00321514
0,0,0,-0.00139337,-0.000513227,0.19129,-8.03E-06,1.77E-05,0.00321989
0,0,0,-0.00139378,-0.000514893,0.191291,-2.28E-08,-2.85E-07,0.00322536
0,0,0,-0.001396,-0.000515408,0.191291,2.37E-07,-4.60E-07,0.00322856
0,0,0,-0.00139865,-0.000516764,0.191289,2.17E-05,6.51E-07,0.00323039
0,0,0,-0.0014011,-0.000515336,0.19129,-8.03E-06,1.77E-05,0.00323515
0,0,0,-0.00140151,-0.000517002,0.191291,-2.28E-08,-2.85E-07,0.00324062
0,0,0,-0.00140373,-0.000517517,0.191291,2.37E-07,-4.60E-07,0.00324382
0,0,0,-0.00140638,-0.000518873,0.191289,2.17E-05,6.51E-07,0.00324565
0,0,0,-0.00140884,-0.000517445,0.19129,-8.03E-06,1.77E-05,0.0032504
0,0,0,-0.00140924,-0.000519111,0.191291,-2.28E-08,-2.85E-07,0.00325587
0,0,0,-0.00141147,-0.000519626,0.191291,2.37E-07,-4.60E-07,0.00325906
0,0,0,-0.00141411,-0.000520983,0.191289,2.17E-05,6.51E-07,0.00326089
0,0,0,-0.00141657,-0.000519555,0.19129,-8.03E-06,1.77E-05,0.00326564
0,0,0,-0.00141697,-0.000521221,0.191291,-2.28E-08,-2.85E-07,0.00327111
0,0,0,-0.0014192,-0.000521736,0.191291,2.37E-07,-4.60E-07,0.00327431
0,0,0,-0.00142184,-0.000523092,0.191289,2.17E-05,6.51E-07,0.00327614
0,0,0,-0.0014243,-0.000521665,0.19129,-8.03E-06,1.77E-05,0.00328088
0,0,0,-0.00142471,-0.000523331,0.191291,-2.28E-08,-2.85E-07,0.00328635
0,0,0,-0.00142693,-0.000523846,0.191291,2.37E-07,-4.60E-07,0.00328954
0,0,0,-0.00142958,-0.000525202,0.191289,2.17E-05,6.51E-07,0.00329137
0,0,0,-0.00143204,-0.000523775,0.19129,-8.03E-06,1.77E-05,0.00329612
0,0,0,-0.00143244,-0.000525441,0.191291,-2.28E-08,-2.85E-07,0.00330158
0,0,0,-0.00143467,-0.000525956,0.191291,2.37E-07,-4.60E-07,0.00330478
0,0,0,-0.00143731,-0.000527313,0.191289,2.17E-05,6.51E-07,0.0033066
0,0,0,-0.00143977,-0.000525885,0.19129,-8.03E-06,1.77E-05,0.00331135
0,0,0,-0.00144018,-0.000527552,0.191291,-2.28E-08,-2.85E-07,0.00331681
0,0,0,-0.0014424,-0.000528067,0.191291,2.37E-07,-4.60E-07,0.00332
0,0,0,-0.00144505,-0.000529423,0.191289,2.17E-05,6.51E-07,0.00332183
0,0,0,-0.00144751,-0.000527996,0.19129,-8.03E-06,1.77E-05,0.00332657
0,0,0,-0.00144791,-0.000529662,0.191291,-2.28E-08,-2.85E-07,0.00333203
0,0,0,-0.00145014,-0.000530177,0.191291,2.37E-07,-4.60E-07,0.00333522
0,0,0,-0.00145279,-0.000531534,0.191289,2.17E-05,6.51E-07,0.00333705
0,0,0,-0.00145525,-0.000530107,0.19129,-8.03E-06,1.77E-05,0.00334179
0,0,0,-0.00145565,-0.000531773,0.191291,-2.28E-08,-2.85E-07,0.00334725
0,0,0,-0.00145788,-0.000532288,0.191291,2.37E-07,-4.60E-07,0.00335044
0,0,0,-0.00146052,-0.000533645,0.191289,2.17E-05,6.51E-07,0.00335226
0,0,0,-0.00146298,-0.000532218,0.19129,-8.03E-06,1.77E-05,0.003357
0,0,0,-0.00146339,-0.000533885,0.191291,-2.28E-08,-2.85E-07,0.00336246
0,0,0,-0.00146562,-0.0005344,0.191291,2.37E-07,-4.60E-07,0.00336565
0,0,0,-0.00146826,-0.000535757,0.191289,2.17E-05,6.51E-07,0.00336747
0,0,0,-0.00147072,-0.00053433,0.19129,-8.03E-06,1.77E-05,0.00337221
0,0,0,-0.00147113,-0.000535996,0.191291,-2.28E-08,-2.85E-07,0.00337767
0,0,0,-0.00147336,-0.000536511,0.191291,2.37E-07,-4.60E-07,0.00338085
0,0,0,-0.001476,-0.000537868,0.191289,2.17E-05,6.51E-07,0.00338267
0,0,0,-0.00147846,-0.000536442,0.19129,-8.03E-06,1.77E-05,0.00338741
0,0,0,-0.00147887,-0.000538108,0.191291,-2.28E-08,-2.85E-07,0.00339287
0,0,0,-0.0014811,-0.000538623,0.191291,2.37E-07,-4.60E-07,0.00339605
0,0,0,-0.00148374,-0.00053998,0.191289,2.17E-05,6.51E-07,0.00339787
0,0,0,-0.0014862,-0.000538554,0.19129,-8.03E-06,1.77E-05,0.00340261
0,0,0,-0.00148661,-0.00054022,0.191291,-2.28E-08,-2.85E-07,0.00340806
0,0,0,-0.00148884,-0.000540735,0.191291,2.37E-07,-4.60E-07,0.00341125
0,0,0,-0.00149148,-0.000542092,0.191289,2.17E-05,6.51E-07,0.00341307
0,0,0,-0.00149394,-0.000540666,0.19129,-8.03E-06,1.77E-05,0.0034178
0,0,0,-0.00149435,-0.000542332,0.191291,-2.28E-08,-2.85E-07,0.00342325
0,0,0,-0.00149658,-0.000542848,0.191291,2.37E-07,-4.60E-07,0.00342644
0,0,0,-0.00149922,-0.000544205,0.191289,2.17E-05,6.51E-07,0.00342825
0,0,0,-0.00150169,-0.000542778,0.19129,-8.03E-06,1.77E-05,0.00343299
0,0,0,-0.00150209,-0.000544445,0.191291,-2.28E-08,-2.85E-07,0.00343844
0,0,0,-0.00150364,-0.000544867,0.191291,-2.28E-08,-2.85E-07,0.00344147
0,0,0,-0.00150697,-0.000546318,0.191289,2.17E-05,6.51E-07,0.00344344
0,0,0,-0.00150943,-0.000544891,0.19129,-8.03E-06,1.77E-05,0.00344817
0,0,0,-0.00150987,-0.000546524,0.191291,-1.41E-07,-1.81E-07,0.0034535
0,0,0,-0.00151138,-0.000547014,0.191281,-5.69E-08,-4.05E-06,0.0034568
0,0,0,-0.0015143,-0.000547179,0.191291,-2.03E-06,-6.02E-07,0.00346008
0,0,0,-0.00151607,-0.000548214,0.191291,-1.41E-07,-1.81E-07,0.00346564
0,0,0,-0.00151758,-0.000548671,0.191291,-2.28E-08,-2.85E-07,0.00346879
0,0,0,-0.00151981,-0.000549186,0.191291,2.37E-07,-4.60E-07,0.00347197
