xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
0,0,0,-0.00230213,-0.000775624,0.191289,2.17E-05,6.50E-07,0.0049289,
0,0,0,-0.00230213,-0.000775624,0.191289,2.17E-05,6.50E-07,0.0049289,
0,0,0,-0.00230462,-0.000774208,0.19129,-8.03E-06,1.77E-05,0.00493349,
0,0,0,-0.00230505,-0.000775875,0.191291,-2.28E-08,-2.80E-07,0.00493879,
0,0,0,-0.0023073,-0.000776393,0.191291,2.36E-07,-4.58E-07,0.00494184,
0,0,0,-0.00230996,-0.000777756,0.191289,2.17E-05,6.50E-07,0.00494355,
0,0,0,-0.00231135,-0.000777548,0.191291,-1.41E-07,-1.81E-07,0.00495041,
0,0,0,-0.00231288,-0.000778007,0.191291,-2.28E-08,-2.80E-07,0.00495344,
0,0,0,-0.00231512,-0.000778525,0.191291,2.36E-07,-4.58E-07,0.00495649,
0,0,0,-0.00231778,-0.000779888,0.191289,2.17E-05,6.50E-07,0.00495819,
0,0,0,-0.00232027,-0.000778472,0.19129,-8.03E-06,1.77E-05,0.00496278,
0,0,0,-0.0023207,-0.000780139,0.191291,-2.28E-08,-2.80E-07,0.00496808,
0,0,0,-0.00232295,-0.000780657,0.191291,2.36E-07,-4.58E-07,0.00497113,
0,0,0,-0.00232561,-0.000782021,0.191289,2.17E-05,6.50E-07,0.00497283,
0,0,0,-0.00232809,-0.000780604,0.19129,-8.03E-06,1.77E-05,0.00497742,
0,0,0,-0.00232853,-0.000782272,0.191291,-2.28E-08,-2.80E-07,0.00498272,
0,0,0,-0.00233077,-0.00078279,0.191291,2.36E-07,-4.58E-07,0.00498577,
0,0,0,-0.00233343,-0.000784153,0.191289,2.17E-05,6.50E-07,0.00498747,
0,0,0,-0.00233592,-0.000782737,0.19129,-8.03E-06,1.77E-05,0.00499205,
0,0,0,-0.00233635,-0.000784437,0.191281,-5.56E-08,-4.04E-06,0.00499747,
0,0,0,-0.0023386,-0.000784923,0.191291,2.36E-07,-4.58E-07,0.0050004,
0,0,0,-0.00234126,-0.000786286,0.191289,2.17E-05,6.50E-07,0.0050021,
0,0,0,-0.00234374,-0.00078487,0.19129,-8.03E-06,1.77E-05,0.00500668,
0,0,0,-0.00234418,-0.000786537,0.191291,-2.28E-08,-2.79E-07,0.00501198,
0,0,0,-0.00234643,-0.000787056,0.191291,2.36E-07,-4.58E-07,0.00501502,
0,0,0,-0.00234908,-0.000788419,0.191289,2.17E-05,6.50E-07,0.00501672,
0,0,0,-0.00235157,-0.000787003,0.19129,-8.03E-06,1.77E-05,0.00502131,
0,0,0,-0.00235201,-0.000788671,0.191291,-2.28E-08,-2.79E-07,0.0050266,
0,0,0,-0.00235425,-0.000789189,0.191291,2.36E-07,-4.58E-07,0.00502965,
0,0,0,-0.00235691,-0.000790553,0.191289,2.17E-05,6.50E-07,0.00503134,
0,0,0,-0.0023594,-0.000789137,0.19129,-8.03E-06,1.77E-05,0.00503592,
0,0,0,-0.00235983,-0.000790804,0.191291,-2.28E-08,-2.79E-07,0.00504122,
0,0,0,-0.00236208,-0.000791322,0.191291,2.36E-07,-4.58E-07,0.00504426,
0,0,0,-0.00236474,-0.000792686,0.191289,2.17E-05,6.50E-07,0.00504596,
0,0,0,-0.00236723,-0.00079127,0.19129,-8.03E-06,1.77E-05,0.00505054,
0,0,0,-0.00236766,-0.000792938,0.191291,-2.28E-08,-2.79E-07,0.00505583,
0,0,0,-0.00236991,-0.000793456,0.191291,2.36E-07,-4.58E-07,0.00505887,
0,0,0,-0.00237257,-0.00079482,0.191289,2.17E-05,6.50E-07,0.00506057,
0,0,0,-0.00237506,-0.000793404,0.19129,-8.03E-06,1.77E-05,0.00506514,
0,0,0,-0.00237549,-0.000795072,0.191291,-2.28E-08,-2.79E-07,0.00507043,
0,0,0,-0.00237774,-0.00079559,0.191291,2.36E-07,-4.58E-07,0.00507348,
0,0,0,-0.0023804,-0.000796954,0.191289,2.17E-05,6.50E-07,0.00507517,
0,0,0,-0.00238289,-0.000795539,0.19129,-8.03E-06,1.77E-05,0.00507975,
0,0,0,-0.00238332,-0.000797206,0.191291,-2.28E-08,-2.79E-07,0.00508503,
0,0,0,-0.00238557,-0.000797724,0.191291,2.36E-07,-4.58E-07,0.00508808,
0,0,0,-0.00238823,-0.000799088,0.191289,2.17E-05,6.50E-07,0.00508977,
0,0,0,-0.00238962,-0.000798882,0.191291,-1.41E-07,-1.81E-07,0.00509661,
0,0,0,-0.00239115,-0.00079934,0.191291,-2.28E-08,-2.79E-07,0.00509963,
0,0,0,-0.0023934,-0.000799859,0.191291,2.36E-07,-4.58E-07,0.00510267,
0,0,0,-0.00239606,-0.000801223,0.191289,2.17E-05,6.50E-07,0.00510436,
0,0,0,-0.00239855,-0.000799808,0.19129,-8.03E-06,1.77E-05,0.00510893,
0,0,0,-0.00239899,-0.000801475,0.191291,-2.28E-08,-2.79E-07,0.00511422,
0,0,0,-0.00240123,-0.000801994,0.191291,2.36E-07,-4.58E-07,0.00511726,
0,0,0,-0.00240389,-0.000803358,0.191289,2.17E-05,6.50E-07,0.00511895,
0,0,0,-0.00240638,-0.000801943,0.19129,-8.03E-06,1.77E-05,0.00512352,
0,0,0,-0.00240682,-0.00080361,0.191291,-2.28E-08,-2.79E-07,0.0051288,
0,0,0,-0.00240907,-0.000804129,0.191291,2.36E-07,-4.58E-07,0.00513184,
0,0,0,-0.00241172,-0.000805493,0.191289,2.17E-05,6.50E-07,0.00513353,
0,0,0,-0.00241422,-0.000804078,0.19129,-8.03E-06,1.77E-05,0.0051381,
0,0,0,-0.00241465,-0.000805745,0.191291,-2.28E-08,-2.79E-07,0.00514338,
0,0,0,-0.0024169,-0.000806264,0.191291,2.36E-07,-4.58E-07,0.00514642,
0,0,0,-0.00241956,-0.000807628,0.191289,2.17E-05,6.50E-07,0.00514811,
0,0,0,-0.00242205,-0.000806213,0.19129,-8.03E-06,1.77E-05,0.00515268,
0,0,0,-0.00242249,-0.000807881,0.191291,-2.28E-08,-2.79E-07,0.00515796,
0,0,0,-0.00242474,-0.000808399,0.191291,2.36E-07,-4.58E-07,0.00516099,
0,0,0,-0.00242739,-0.000809764,0.191289,2.17E-05,6.50E-07,0.00516268,
0,0,0,-0.00242988,-0.000808349,0.19129,-8.03E-06,1.77E-05,0.00516725,
0,0,0,-0.00243032,-0.000810016,0.191291,-2.28E-08,-2.79E-07,0.00517253,
0,0,0,-0.00243257,-0.000810535,0.191291,2.36E-07,-4.58E-07,0.00517556,
0,0,0,-0.00243493,-0.000810235,0.19129,-6.44E-06,-1.59E-06,0.00517803,
0,0,0,-0.00243772,-0.000810485,0.19129,-8.03E-06,1.77E-05,0.00518182,
0,0,0,-0.00243816,-0.000812152,0.191291,-2.28E-08,-2.79E-07,0.00518709,
0,0,0,-0.00244041,-0.000812671,0.191291,2.36E-07,-4.58E-07,0.00519013,
0,0,0,-0.00244306,-0.000814035,0.191289,2.17E-05,6.50E-07,0.00519181,
0,0,0,-0.00244556,-0.000812621,0.19129,-8.03E-06,1.77E-05,0.00519638,
0,0,0,-0.00244599,-0.000814289,0.191291,-2.28E-08,-2.79E-07,0.00520165,
0,0,0,-0.00244824,-0.000814807,0.191291,2.36E-07,-4.58E-07,0.00520468,
0,0,0,-0.0024506,-0.000814507,0.19129,-6.44E-06,-1.59E-06,0.00520714,
0,0,0,-0.00245339,-0.000814757,0.19129,-8.03E-06,1.77E-05,0.00521093,
0,0,0,-0.00245383,-0.000816425,0.191291,-2.28E-08,-2.79E-07,0.0052162,
0,0,0,-0.00245608,-0.000816944,0.191291,2.36E-07,-4.58E-07,0.00521924,
0,0,0,-0.00245874,-0.000818308,0.191289,2.17E-05,6.50E-07,0.00522092,
0,0,0,-0.00246123,-0.000816894,0.19129,-8.03E-06,1.77E-05,0.00522548,
0,0,0,-0.00246167,-0.000818562,0.191291,-2.28E-08,-2.79E-07,0.00523075,
0,0,0,-0.00246323,-0.000819021,0.191281,-5.55E-08,-4.04E-06,0.00523378,
0,0,0,-0.00246658,-0.000820445,0.191289,2.17E-05,6.50E-07,0.00523546,
0,0,0,-0.00246907,-0.000819031,0.19129,-8.03E-06,1.77E-05,0.00524002,
0,0,0,-0.00246951,-0.000820699,0.191291,-2.28E-08,-2.79E-07,0.0052453,
0,0,0,-0.00247176,-0.000821217,0.191291,2.36E-07,-4.58E-07,0.00524832,
0,0,0,-0.00247442,-0.000822582,0.191289,2.17E-05,6.50E-07,0.00525001,
0,0,0,-0.00247691,-0.000821168,0.19129,-8.03E-06,1.77E-05,0.00525456,
0,0,0,-0.00247735,-0.000822836,0.191291,-2.28E-08,-2.79E-07,0.00525983,
0,0,0,-0.0024796,-0.000823355,0.191291,2.36E-07,-4.58E-07,0.00526286,
0,0,0,-0.00248226,-0.000824719,0.191289,2.17E-05,6.50E-07,0.00526454,
0,0,0,-0.00248475,-0.000823305,0.19129,-8.03E-06,1.77E-05,0.0052691,
0,0,0,-0.00248519,-0.000824973,0.191291,-2.28E-08,-2.79E-07,0.00527437,
0,0,0,-0.00248744,-0.000825492,0.191291,2.36E-07,-4.58E-07,0.00527739,
0,0,0,-0.0024901,-0.000826857,0.191289,2.17E-05,6.50E-07,0.00527907,
0,0,0,-0.00249259,-0.000825443,0.19129,-8.03E-06,1.77E-05,0.00528363,
0,0,0,-0.00249306,-0.000827079,0.191291,-1.41E-07,-1.81E-07,0.0052888,
0,0,0,-0.00249528,-0.00082763,0.191291,2.36E-07,-4.58E-07,0.00529192,
0,0,0,-0.00249794,-0.000828995,0.191289,2.17E-05,6.50E-07,0.0052936,
0,0,0,-0.00250043,-0.000827581,0.19129,-8.03E-06,1.77E-05,0.00529815,
0,0,0,-0.00250087,-0.000829281,0.191281,-5.55E-08,-4.04E-06,0.00530354,
0,0,0,-0.00250312,-0.000829768,0.191291,2.36E-07,-4.58E-07,0.00530644,
0,0,0,-0.00250578,-0.000831133,0.191289,2.17E-05,6.50E-07,0.00530812,
0,0,0,-0.00250828,-0.000829719,0.19129,-8.03E-06,1.77E-05,0.00531267,
0,0,0,-0.00250872,-0.000831387,0.191291,-2.28E-08,-2.78E-07,0.00531793,
0,0,0,-0.00251097,-0.000831906,0.191291,2.36E-07,-4.58E-07,0.00532096,
0,0,0,-0.00251363,-0.000833271,0.191289,2.17E-05,6.50E-07,0.00532263,
0,0,0,-0.00251612,-0.000831857,0.19129,-8.03E-06,1.77E-05,0.00532718,
0,0,0,-0.00251656,-0.000833525,0.191291,-2.28E-08,-2.78E-07,0.00533245,
0,0,0,-0.00251881,-0.000834044,0.191291,2.36E-07,-4.58E-07,0.00533547,
0,0,0,-0.00252147,-0.000835409,0.191289,2.17E-05,6.50E-07,0.00533714,
0,0,0,-0.00252396,-0.000833996,0.19129,-8.03E-06,1.77E-05,0.00534169,
0,0,0,-0.0025244,-0.000835696,0.191281,-5.54E-08,-4.04E-06,0.00534707,
0,0,0,-0.00252666,-0.000836183,0.191291,2.36E-07,-4.58E-07,0.00534997,
0,0,0,-0.00252932,-0.000837548,0.191289,2.17E-05,6.50E-07,0.00535165,
0,0,0,-0.00253181,-0.000836135,0.19129,-8.03E-06,1.77E-05,0.0053562,
0,0,0,-0.00253225,-0.000837802,0.191291,-2.28E-08,-2.78E-07,0.00536145,
