xd,yd,zd,x,y,z
0,0,0,0,0,0
0,0,0,0.497308,-0.00138843,0.19129
0,0,0,0.497307,-0.00138826,0.19129
0,0,0,0.497306,-0.00138992,0.191291
0,0,0,0.497304,-0.00139044,0.191291
0,0,0,0.497301,-0.00139181,0.191289
0,0,0,0.497299,-0.00139041,0.19129
0,0,0,0.497298,-0.00139207,0.191291
0,0,0,0.497296,-0.00139259,0.191291
0,0,0,0.497293,-0.00139395,0.191289
0,0,0,0.497291,-0.00139255,0.19129
0,0,0,0.49729,-0.00139421,0.191291
0,0,0,0.497288,-0.00139473,0.191291
0,0,0,0.497285,-0.0013961,0.191289
0,0,0,0.497283,-0.0013947,0.19129
0,0,0,0.497282,-0.00139636,0.191291
0,0,0,0.49728,-0.00139688,0.191291
0,0,0,0.497277,-0.00139824,0.191289
0,0,0,0.497275,-0.00139685,0.19129
0,0,0,0.497274,-0.00139851,0.191291
0,0,0,0.497272,-0.00139902,0.191291
0,0,0,0.497269,-0.00140039,0.191289
0,0,0,0.497267,-0.00139899,0.19129
0,0,0,0.497266,-0.00140065,0.191291
0,0,0,0.497264,-0.00140117,0.191291
0,0,0,0.497261,-0.00140087,0.19129
0,0,0,0.497259,-0.00140114,0.19129
0,0,0,0.497258,-0.0014028,0.191291
0,0,0,0.497256,-0.00140331,0.191291
0,0,0,0.497253,-0.00140468,0.191289
0,0,0,0.497251,-0.00140328,0.19129
0,0,0,0.49725,-0.00140494,0.191291
0,0,0,0.497248,-0.00140546,0.191291
0,0,0,0.497245,-0.00140683,0.191289
0,0,0,0.497243,-0.00140543,0.19129
0,0,0,0.497242,-0.00140709,0.191291
0,0,0,0.49724,-0.0014076,0.191291
0,0,0,0.497237,-0.00140897,0.191289
0,0,0,0.497234,-0.00140757,0.19129
0,0,0,0.497234,-0.00140923,0.191291
0,0,0,0.497232,-0.00140975,0.191291
0,0,0,0.497229,-0.00141112,0.191289
0,0,0,0.497226,-0.00140972,0.19129
0,0,0,0.497226,-0.00141138,0.191291
0,0,0,0.497224,-0.00141189,0.191291
0,0,0,0.497221,-0.00141326,0.191289
0,0,0,0.497218,-0.00141186,0.19129
0,0,0,0.497218,-0.00141352,0.191291
0,0,0,0.497216,-0.00141404,0.191291
0,0,0,0.497213,-0.0014154,0.191289
0,0,0,0.497211,-0.00141521,0.191291
0,0,0,0.49721,-0.00141567,0.191291
0,0,0,0.497207,-0.00141587,0.191291
0,0,0,0.497205,-0.00141755,0.191289
0,0,0,0.497202,-0.00141615,0.19129
0,0,0,0.497202,-0.00141781,0.191291
0,0,0,0.497199,-0.00141832,0.191291
0,0,0,0.497197,-0.00141969,0.191289
0,0,0,0.497194,-0.00141829,0.19129
0,0,0,0.497194,-0.00141995,0.191291
0,0,0,0.497191,-0.00142047,0.191291
0,0,0,0.497189,-0.00142184,0.191289
0,0,0,0.497186,-0.00142044,0.19129
0,0,0,0.497186,-0.0014221,0.191291
0,0,0,0.497183,-0.00142261,0.191291
0,0,0,0.497181,-0.00142398,0.191289
0,0,0,0.497178,-0.00142258,0.19129
0,0,0,0.497177,-0.00142424,0.191291
0,0,0,0.497175,-0.00142475,0.191291
0,0,0,0.497172,-0.00142612,0.191289
0,0,0,0.49717,-0.00142472,0.19129
0,0,0,0.497169,-0.00142638,0.191291
0,0,0,0.497167,-0.0014269,0.191291
0,0,0,0.497165,-0.0014266,0.19129
0,0,0,0.497162,-0.00142687,0.19129
0,0,0,0.497161,-0.00142852,0.191291
0,0,0,0.497159,-0.00142904,0.191291
0,0,0,0.497156,-0.00143041,0.191289
0,0,0,0.497154,-0.00142901,0.19129
0,0,0,0.497153,-0.00143067,0.191291
0,0,0,0.497151,-0.00143118,0.191291
0,0,0,0.497148,-0.00143255,0.191289
0,0,0,0.497146,-0.00143115,0.19129
0,0,0,0.497145,-0.00143281,0.191291
0,0,0,0.497143,-0.00143332,0.191291
0,0,0,0.49714,-0.00143469,0.191289
0,0,0,0.497138,-0.00143329,0.19129
0,0,0,0.497137,-0.00143495,0.191291
