xd,yd,zd,x,y,z
0,0,0,0,-0,-0
0,0,0,0,-0,-0
0,0,0,-0.00239547,-0.000872249,0.19129
0,0,0,-0.00239547,-0.000872249,0.19129
0,0,0,-0.0023959,-0.000873918,0.191291
0,0,0,-0.00239815,-0.000874438,0.191291
0,0,0,-0.00240081,-0.000875804,0.191289
0,0,0,-0.0024033,-0.00087439,0.19129
0,0,0,-0.00240374,-0.000876059,0.191291
0,0,0,-0.00240598,-0.000876579,0.191291
0,0,0,-0.00240864,-0.000877945,0.191289
0,0,0,-0.00241113,-0.000876532,0.19129
0,0,0,-0.00241157,-0.000878201,0.191291
0,0,0,-0.00241382,-0.000878721,0.191291
0,0,0,-0.00241648,-0.000880087,0.191289
0,0,0,-0.00241787,-0.000879882,0.191291
0,0,0,-0.0024194,-0.000880342,0.191291
0,0,0,-0.00242165,-0.000880863,0.191291
0,0,0,-0.00242431,-0.000882228,0.191289
0,0,0,-0.0024268,-0.000880816,0.19129
0,0,0,-0.00242724,-0.000882484,0.191291
0,0,0,-0.00243017,-0.000882689,0.191291
0,0,0,-0.00243215,-0.000884371,0.191289
0,0,0,-0.00243354,-0.000884166,0.191291
0,0,0,-0.00243508,-0.000884627,0.191291
0,0,0,-0.00243732,-0.000885147,0.191291
0,0,0,-0.00243998,-0.000886513,0.191289
0,0,0,-0.00244247,-0.0008851,0.19129
0,0,0,-0.00244291,-0.000886769,0.191291
0,0,0,-0.00244516,-0.000887289,0.191291
0,0,0,-0.00244782,-0.000888655,0.191289
0,0,0,-0.00245031,-0.000887243,0.19129
0,0,0,-0.00245075,-0.000888912,0.191291
0,0,0,-0.002453,-0.000889432,0.191291
0,0,0,-0.00245566,-0.000890798,0.191289
0,0,0,-0.00245815,-0.000889386,0.19129
0,0,0,-0.00245859,-0.000891055,0.191291
0,0,0,-0.00246084,-0.000891575,0.191291
0,0,0,-0.0024632,-0.000891277,0.19129
0,0,0,-0.00246599,-0.000891529,0.19129
0,0,0,-0.00246643,-0.000893198,0.191291
0,0,0,-0.00246868,-0.000893718,0.191291
0,0,0,-0.00247134,-0.000895085,0.191289
0,0,0,-0.00247383,-0.000893672,0.19129
0,0,0,-0.00247427,-0.000895341,0.191291
0,0,0,-0.00247652,-0.000895862,0.191291
0,0,0,-0.00247918,-0.000897228,0.191289
0,0,0,-0.00248167,-0.000895816,0.19129
0,0,0,-0.00248211,-0.000897485,0.191291
0,0,0,-0.00248436,-0.000898006,0.191291
0,0,0,-0.00248672,-0.000897708,0.19129
0,0,0,-0.00248951,-0.00089796,0.19129
0,0,0,-0.00248995,-0.000899629,0.191291
0,0,0,-0.0024922,-0.00090015,0.191291
0,0,0,-0.00249486,-0.000901516,0.191289
0,0,0,-0.00249735,-0.000900104,0.19129
0,0,0,-0.00249779,-0.000901805,0.191281
0,0,0,-0.00250004,-0.000902294,0.191291
0,0,0,-0.0025027,-0.00090366,0.191289
0,0,0,-0.0025052,-0.000902249,0.19129
0,0,0,-0.00250564,-0.000903918,0.191291
0,0,0,-0.00250789,-0.000904438,0.191291
0,0,0,-0.00251055,-0.000905805,0.191289
0,0,0,-0.00251304,-0.000904393,0.19129
0,0,0,-0.00251348,-0.000906062,0.191291
0,0,0,-0.00251573,-0.000906583,0.191291
0,0,0,-0.00251839,-0.00090795,0.191289
0,0,0,-0.00252088,-0.000906538,0.19129
0,0,0,-0.00252132,-0.000908207,0.191291
0,0,0,-0.00252426,-0.000908412,0.191291
0,0,0,-0.00252624,-0.000910095,0.191289
0,0,0,-0.00252873,-0.000908683,0.19129
0,0,0,-0.00252917,-0.000910352,0.191291
0,0,0,-0.00253142,-0.000910873,0.191291
0,0,0,-0.00253408,-0.00091224,0.191289
0,0,0,-0.00253548,-0.000912037,0.191291
0,0,0,-0.00253702,-0.000912498,0.191291
0,0,0,-0.00253927,-0.000913018,0.191291
0,0,0,-0.00254163,-0.000912721,0.19129
0,0,0,-0.00254442,-0.000912974,0.19129
0,0,0,-0.00254486,-0.000914643,0.191291
0,0,0,-0.00254712,-0.000915164,0.191291
0,0,0,-0.00254937,-0.000915278,0.191291
0,0,0,-0.00255227,-0.00091512,0.19129
0,0,0,-0.00255271,-0.000916789,0.191291
0,0,0,-0.00255496,-0.00091731,0.191291
0,0,0,-0.00255762,-0.000918677,0.191289
0,0,0,-0.00256012,-0.000917266,0.19129
0,0,0,-0.00256056,-0.000918935,0.191291
0,0,0,-0.00256281,-0.000919456,0.191291
0,0,0,-0.00256547,-0.000920823,0.191289
0,0,0,-0.00256797,-0.000919413,0.19129
0,0,0,-0.00256841,-0.000921082,0.191291
0,0,0,-0.00257135,-0.000921287,0.191291
0,0,0,-0.00257332,-0.00092297,0.191289
0,0,0,-0.00257582,-0.000921559,0.19129
0,0,0,-0.00257626,-0.000923228,0.191291
0,0,0,-0.00257851,-0.000923749,0.191291
0,0,0,-0.00258117,-0.000925117,0.191289
0,0,0,-0.00258367,-0.000923706,0.19129
0,0,0,-0.00258411,-0.000925375,0.191291
0,0,0,-0.00258636,-0.000925896,0.191291
0,0,0,-0.00258872,-0.000925599,0.19129
0,0,0,-0.00259152,-0.000925853,0.19129
0,0,0,-0.00259196,-0.000927522,0.191291
0,0,0,-0.00259422,-0.000928043,0.191291
0,0,0,-0.00259688,-0.000929411,0.191289
0,0,0,-0.00259937,-0.000928,0.19129
0,0,0,-0.00259982,-0.00092967,0.191291
0,0,0,-0.00260207,-0.000930191,0.191291
0,0,0,-0.00260473,-0.000931558,0.191289
0,0,0,-0.00260723,-0.000930148,0.19129
0,0,0,-0.00260767,-0.000931849,0.191281
0,0,0,-0.00260992,-0.000932338,0.191291
0,0,0,-0.00261258,-0.000933706,0.191289
0,0,0,-0.00261508,-0.000932296,0.19129
0,0,0,-0.00261552,-0.000933965,0.191291
0,0,0,-0.00261778,-0.000934486,0.191291
0,0,0,-0.00262044,-0.000935854,0.191289
0,0,0,-0.00262294,-0.000934444,0.19129
0,0,0,-0.00262338,-0.000936113,0.191291
0,0,0,-0.00262563,-0.000936634,0.191291
0,0,0,-0.00262829,-0.000938002,0.191289
0,0,0,-0.00263079,-0.000936592,0.19129
0,0,0,-0.00263123,-0.000938261,0.191291
0,0,0,-0.00263349,-0.000938782,0.191291
0,0,0,-0.00263615,-0.00094015,0.191289
0,0,0,-0.00263865,-0.00093874,0.19129
0,0,0,-0.00263909,-0.00094041,0.191291
0,0,0,-0.00264134,-0.000940931,0.191291
0,0,0,-0.00264401,-0.000942299,0.191289
0,0,0,-0.0026465,-0.000940889,0.19129
0,0,0,-0.00264695,-0.000942559,0.191291
0,0,0,-0.0026492,-0.00094308,0.191291
0,0,0,-0.00265186,-0.000944448,0.191289
0,0,0,-0.00265436,-0.000943038,0.19129
0,0,0,-0.00265481,-0.000944708,0.191291
0,0,0,-0.00265706,-0.000945229,0.191291
0,0,0,-0.00265972,-0.000946597,0.191289
0,0,0,-0.00266222,-0.000945187,0.19129
0,0,0,-0.00266267,-0.000946857,0.191291
0,0,0,-0.00266492,-0.000947378,0.191291
0,0,0,-0.00266758,-0.000948746,0.191289
0,0,0,-0.00267008,-0.000947337,0.19129
0,0,0,-0.00267053,-0.000949006,0.191291
0,0,0,-0.00267278,-0.000949528,0.191291
0,0,0,-0.00267544,-0.000950896,0.191289
0,0,0,-0.00267794,-0.000949486,0.19129
0,0,0,-0.00267839,-0.000951156,0.191291
0,0,0,-0.00268064,-0.000951677,0.191291
0,0,0,-0.0026833,-0.000953046,0.191289
0,0,0,-0.0026858,-0.000951636,0.19129
0,0,0,-0.00268625,-0.000953306,0.191291
0,0,0,-0.0026885,-0.000953827,0.191291
0,0,0,-0.00269116,-0.000955196,0.191289
0,0,0,-0.00269366,-0.000953787,0.19129
0,0,0,-0.00269411,-0.000955456,0.191291
0,0,0,-0.00269636,-0.000955978,0.191291
0,0,0,-0.00269903,-0.000957346,0.191289
